Airport Code	Description of Airport	City Name	State	USDA Compliance Agreement in Place and Eligible for Precleared Arrivals
KBHM	Birmingham International Airport	Birmingham	Alabama	Yes
KDCU	Pryor Field Regional Airport	Decatur	Alabama	Yes
KCQF	Sonny Callahan Airport	Fairhope	Alabama	No
KJKA	Jack Edwards Airport	Gulf Shores	Alabama	No
KHSV	Huntsville International Airport	Huntsville	Alabama	Yes
KBFM	Mobile Downtown Airport (Brookley Field)	Mobile	Alabama	No
KMOB	Mobile Regional Airport (Bates Field)	Mobile	Alabama	No
PANC	Anchorage International Airport (Ted Stevens)	Anchorage	Alaska	Yes
PAFA	Fairbanks International Airport	Fairbanks	Alaska	Yes
PAHN	Haines Airport	Haines	Alaska	No
PAJN	Juneau Municipal Airport	Juneau	Alaska	No
P5KE	Ketchikan Harbor Seaplane Base	Ketchikan	Alaska	No
PAKT	Ketchikan International Airport	Ketchikan	Alaska	Yes
PAOM	Nome Airport	Nome	Alaska	No
PAOR	Northway Airport	Northway	Alaska	No
PASI	Sitka Rocky Gutierrez Airport	Sitka	Alaska	No
PAGY	Skagway Municipal Airport	Skagway	Alaska	No
PADU	Unalaska Emergency Field (Tom Madsen Airport	Unalaska	Alaska	No
PAVD	Valdez Pioneer Field Airport	Valdez	Alaska	No
PAWG	Wrangell Seaplane Base	Wrangell	Alaska	No
KDGL	Douglas Municipal Airport	Douglas	Arizona	No
KDUG	Bisbee-Douglas International Airport	Douglas	Arizona	No
KIWA	Williams Gateway Airport	Mesa	Arizona	Yes
KOLS	Nogales International Airport	Nogales	Arizona	No
KPHX	Phoenix Sky Harbor International Airport	Phoenix	Arizona	Yes
KSDL	Scottsdale Airport	Scottsdale	Arizona	No
KTUS	Tucson International Airport	Tucson	Arizona	Yes
KNYL	Yuma International Airport	Yuma	Arizona	Yes
KLIT	Bill and Hillary Clinton National Airport	Little Rock	Arkansas	Yes
KROG	Rogers Municipal Airport	Rogers	Arkansas	Yes
KCXL	Calexico International Airport	Calexico	California	No
KCRQ	McClellan-Palomar Airport	Carlsbad	California	Yes
KSUU	Travis Air Force Base	Fairfield	California	Yes
KFAT	Fresno Yosemite International Airport	Fresno	California	Yes
KLAX	Los Angeles International Airport	Los Angeles	California	Yes
KNUQ	Moffett Federal Airfield	Mountain View	California	Yes
KOAK	Oakland International Airport	Oakland	California	Yes
KPSP	Palm Springs International Airport	Palm Springs	California	Yes
KMCC	McClellan Air Force Base	Sacramento	California	Yes
KBAB	Beale Air Force Base	Sacramento	California	Yes
KSMF	Sacramento International Airport	Sacramento	California	Yes
KSBD	San Bernardino International Airport	San Bernardino	California	Yes
KSDM	Brown Field	San Diego	California	No
KSAN	San Diego International Airport (Lindbergh Field)	San Diego	California	Yes
KSFO	San Francisco International Airport	San Francisco	California	Yes
KSJC	Norman Y. Mineta San Jose International Airport	San Jose	California	Yes
KVNY	Van Nuys Airport	Van Nuys	California	Yes
KVCV	Southern California Logisitics Airport	Victorville	California	Yes
KBJC	Jefferson County Airport	Broomfield	Colorado	Yes
KCOS	Colorado Springs Airport	Colorado Springs	Colorado	Yes
KDEN	Denver International Airport	Denver	Colorado	Yes
KAPA	Denver Centennial Airport	Englewood	Colorado	Yes
KEGE	Eagle County Regional Airport	Gypsum	Colorado	Yes
KFNL	Northern Colorado Regional Airport	Loveland	Colorado	Yes
KBDR	Sikorsky Memorial Airport	Bridgeport	Connecticut	Yes
KGON	Groton-New London Airport	Groton	Connecticut	Yes
KHVN	Tweed-New Haven Regional Airport	New Haven	Connecticut	Yes
KOXC	Waterbury Oxford Airport	Oxford	Connecticut	No
KBDL	Bradley International Airport	Windsor Locks	Connecticut	Yes
KDOV	Dover Air Force Base	Dover	Delaware	Yes
KGED	Delaware Coastal Airport	Georgetown	Delaware	Yes
KILG	New Castle Airport	Wilmington	Delaware	Yes
KBCT	Boca Raton Airport	Boca Raton	Florida	Yes
KDAB	Daytona Beach International Airport	Daytona	Florida	No
KFLL	Fort Lauderdale-Hollywood International Airport	Fort Lauderdale	Florida	Yes
KFXE	Fort Lauderdale Executive Airport	Fort Lauderdale	Florida	Yes
KRSW	Southwest Florida International Airport	Fort Myers	Florida	Yes
KFPR	Treasure Coast International Airport	Fort Pierce	Florida	Yes
KJAX	Jacksonville International Airport	Jacksonville	Florida	Yes
KEYW	Key West International Airport	Key West	Florida	Yes
KLAL	Lakeland Linder Regional Airport	Lakeland	Florida	No
KLEE	Leesburg Regional Airport	Leesburg	Florida	No
KMTH	Florida Keys Marathon Airport	Marathon	Florida	Yes
KMLB	Melbourne Airport	Melbourne	Florida	Yes
KMIA	Miami International Airport	Miami	Florida	Yes
KOPF	Miami-Opa Locka Executive Airport	Miami	Florida	No
KTMB	Miami Executive Airport	Miami	Florida	No
KAPF	Naples Airport	Naples	Florida	Yes
KMCO	Orlando International Airport	Orlando	Florida	Yes
KORL	Orlando Executive Airport	Orlando	Florida	Yes
KPNS	Pensacola Regional Airport	Pensacola	Florida	Yes
KSFB	Orlando Sanford International Airport	Sanford	Florida	Yes
KSRQ	Sarasota Bradenton International Airport	Sarasota	Florida	Yes
KSGJ	St. Augustine Airport	St. Augustine	Florida	Yes
KPIE	St. Petersburg-Clearwater International Airport	St. Petersburg	Florida	Yes
KSUA	Martin County Airport at Witham Field	Stuart	Florida	Yes
KMCF	MacDill Air Force Base	Tampa	Florida	Yes
KTPA	Tampa International Airport	Tampa	Florida	Yes
KPBI	Palm Beach International Airport	West Palm Beach	Florida	Yes
KVRB	Vero Beach Regional Airport	Vero Beach	Florida	Yes
KATL	Hartsfield-Jackson Atlanta International Airport	Atlanta	Georgia	Yes
KFTY	Fulton County Airport-Brown Field	Atlanta	Georgia	Yes
KPDK	Dekalb Peachtree Airport	Atlanta	Georgia	Yes
KBQK	Brunswick Golden Isles Airport (Glynco Jetport)	Brunswick	Georgia	No
KSSI	McKinnon St. Simons Island Airport	Brunswick	Georgia	No
KRYY	Cobb County International Airport (McCollum Field)	Kennesaw	Georgia	Yes
